final_id,final_file,tier,group,original_id,source_group,source_image_unit,source_page,direct_url,rights,visual_note,dedup_note,crop_box,independent_source_count,sha256
W001,01_CORE_001__CN_WEB_1__CNU001.png,core,CN_WEB_1,CNU001,Jicai,jicai_06.jpg,https://www.jicaizhipin.com/a/news/printingdesign/235.html,,No open licence found; research screening only,闭环S形藤与成对叶片挂接清楚,对67张与batch3无同图匹配,,1,0dff61ea3d41896279e08e52c8635f43fe8a5c917cce304ede8532f833481a7f
W002,01_CORE_002__CN_WEB_1__CNU002.png,core,CN_WEB_1,CNU002,Jicai,jicai_09.jpg,https://www.jicaizhipin.com/a/news/printingdesign/235.html,,No open licence found; research screening only,交叉S形父干与大叶片层次清楚,对67张与batch3无同图匹配,,1,111764c4d05459f14e242a29811b52ce00a9f1d6c090446799ad0bcfde643e51
W003,01_CORE_003__CN_WEB_1__CNU003.png,core,CN_WEB_1,CNU003,Jicai,jicai_07.jpg,https://www.jicaizhipin.com/a/news/printingdesign/235.html,,No open licence found; research screening only,长距离S形走势稳定,对67张与batch3无同图匹配,,1,d59e96e1a807a1956198f840f3e2afe6d6e5263cb930faa2f165330dbb3add40
W004,01_CORE_004__CN_WEB_1__CNU004.png,core,CN_WEB_1,CNU004,Sina,sina_sheet01_1645x1920.jpg,https://k.sina.cn/article_1550389102_p5c690f6e027012fbd.html,,No open licence found; research screening only,花位、主藤和卷曲支梢关系完整,排除了同源candidate_014重复裁切,,1,e81b7e6e7d5f11e984e4f41b6c95941b87f244e1ff3ee4e381d923036826fdaa
W005,01_CORE_005__CN_WEB_1__CNU005.png,core,CN_WEB_1,CNU005,Sina,sina_sheet04_1645x1920.jpg,https://k.sina.cn/article_1550389102_p5c690f6e027012fbd.html,,No open licence found; research screening only,莲花与闭合回环藤结构可读,排除了同图candidate_002重复裁切,,1,78bd3b188fdecdb935c0bfb80d3671ecb4fa118bbc3bbad446e8a6e5a9bfee8d
W006,01_CORE_006__CN_WEB_1__CNU007.png,core,CN_WEB_1,CNU007,Baidu,baidu_tashuo_scroll_studies.jpg,https://wapbaike.baidu.com/tashuo/browse/content?id=0973544b7b269d26d67cdc38,,No open licence found; research screening only,葡萄、叶片在S形主藤上交替挂接,同源图不同设计行；未按独立来源新增,,0,90dfddff8f4942b2dd71e50804dca261b8d62fd2c951d6155ef1651f86604def
W007,01_CORE_007__CN_WEB_1__CNU008.png,core,CN_WEB_1,CNU008,Baidu,baidu_tashuo_scroll_studies.jpg,https://wapbaike.baidu.com/tashuo/browse/content?id=0973544b7b269d26d67cdc38,,No open licence found; research screening only,单主干和短叶枝适合作为简化样本,同源图不同设计行；未按独立来源新增,,0,ee1655285b6c07aaec7a987aa7d1d6d74bbbaac1dde30dc49e759249887a3874
W008,01_CORE_008__CN_WEB_1__CNU009.png,core,CN_WEB_1,CNU009,Nipic,nipic_honeysuckle_sheet.jpg,https://www.nipic.com/show/48796371.html,,No open licence found; research screening only,三线主干连续且叶瓣挂接明确,同源图不同设计行；未按独立来源新增,,1,9e921415661b07b38f4abbcf818bc00bfbd3018741ed4b7e1cdcd50aa7cabb21
W009,01_CORE_009__CN_WEB_1__CNU010.png,core,CN_WEB_1,CNU010,Nipic,nipic_honeysuckle_sheet.jpg,https://www.nipic.com/show/48796371.html,,No open licence found; research screening only,重复卷叶单元和父干连续性清楚,同源图不同设计行；未按独立来源新增,,0,cfe8495d6e87ed0acd660821a184de8fa9778740436bceaac2e42ea7f28a0b3a
W010,01_CORE_010__CN_WEB_1__CNU011.png,core,CN_WEB_1,CNU011,Sina,sina_01.jpg,https://cj.sina.com.cn/articles/view/1872762823/p6fa017c702702b0dg,,No open licence found; research screening only,花叶沿连续弧形主藤重复,与CN04及67张不是同一设计,,1,244e2662220d7f5da7c396cf2c7fc62a645df9cfacfd6754036559ead4793ebf
W011,01_CORE_011__CN_WEB_1__CNU013.png,core,CN_WEB_1,CNU013,Sina,sina_03.jpg,https://cj.sina.com.cn/articles/view/1872762823/p6fa017c702702b0dg,,No open licence found; research screening only,花朵、卷叶和波形藤连续,已排除同图杏花、菊花旧候选,,1,d231f196d0e69adf0f41c55a870dc2c642c96afa74ea4ec6dcecd49b6bb19c36
W012,01_CORE_012__CN_WEB_1__CNU014.png,core,CN_WEB_1,CNU014,Sina,sina_06.jpg,https://cj.sina.com.cn/articles/view/1872762823/p6fa017c702702b0dg,,No open licence found; research screening only,花果节点沿细波形藤均匀挂接,对67张与batch3无同图匹配,,1,3d7ad7b9f0de1152e6f6f37412f9a431b0a598b3b92bd849105e2c364fb583d1
W013,01_CORE_013__CN_WEB_1__CNU015.png,core,CN_WEB_1,CNU015,Sina,sina_06.jpg,https://cj.sina.com.cn/articles/view/1872762823/p6fa017c702702b0dg,,No open licence found; research screening only,叶片、果实和卷曲支梢沿主藤交替,同源图不同设计行；未按独立来源新增,,0,07766cc795441f667e09e6e16cebb537938f8d45645a94e95e9fa904e0c4b2e5
W014,01_CORE_014__CN_WEB_1__CNU016.png,core,CN_WEB_1,CNU016,Sina,sina_06.jpg,https://cj.sina.com.cn/articles/view/1872762823/p6fa017c702702b0dg,,No open licence found; research screening only,花朵与短枝形成清楚重复单元,同源图不同设计行；未按独立来源新增,,0,a11e72e021a90e5adbe1d1fb6a234e297c2bf810a7be4b66e32298776970a897
W015,01_CORE_015__CN_WEB_1__CNU017.png,core,CN_WEB_1,CNU017,Sina,sina_06.jpg,https://cj.sina.com.cn/articles/view/1872762823/p6fa017c702702b0dg,,No open licence found; research screening only,果实花叶由连续细藤连接,同源图不同设计行；未按独立来源新增,,0,043471c77f8da0cf587a33ee55cd1dadbcdac3fbfb49b4235139bb63b97645db
W016,01_CORE_016__CN_WEB_1__CNU018.png,core,CN_WEB_1,CNU018,Sina,sina_07.jpg,https://cj.sina.com.cn/articles/view/1872762823/p6fa017c702702b0dg,,No open licence found; research screening only,花果节点与双向卷枝关系可读,对67张与batch3无同图匹配,,1,0db88c6d438398da02fb2e483c13ce4d72f2c304272cf345403deb753e473994
W017,01_CORE_017__CN_WEB_1__CNU019.png,core,CN_WEB_1,CNU019,Sina,sina_07.jpg,https://cj.sina.com.cn/articles/view/1872762823/p6fa017c702702b0dg,,No open licence found; research screening only,大花和叶片沿波形主藤交替,同源图不同设计行；未按独立来源新增,,0,1f458807c5f0e196f41f246263d30d0f987b0597f8a050272b5a28223ac83c53
W018,01_CORE_018__CN_WEB_1__CNU020.png,core,CN_WEB_1,CNU020,Sina,sina_07.jpg,https://cj.sina.com.cn/articles/view/1872762823/p6fa017c702702b0dg,,No open licence found; research screening only,花叶和卷曲侧枝层级简洁,同源图不同设计行；未按独立来源新增,,0,6a7c4dc9a6a21a32ffa31c74535df9f20c8e8cf45036b637bd03c9eeedd0f784
W019,01_CORE_019__CN_WEB_1__CNU021.png,core,CN_WEB_1,CNU021,Sina,sina_07.jpg,https://cj.sina.com.cn/articles/view/1872762823/p6fa017c702702b0dg,,No open licence found; research screening only,花团由连续卷藤相连,同源图不同设计行；未按独立来源新增,,0,7b420545c8bcde7fb608bad70bb8e1ca6d1eff1dcec4bd93aaa8a84013f87a05
W020,01_CORE_020__CN_WEB_2__R203.png,core,CN_WEB_2,R203,Sina,sina_20230514_03,https://cj.sina.com.cn/articles/view/3925604985/pe9fbfa79027021c0b,https://k.sinaimg.cn/n/sinakd20122/365/w1645h1920/20230514/6611-7185846593e60e81d96b6b761f600637.jpg/w700d1q75cms.jpg,Sina repost; no open licence found; research screening only,Alternating flower anchors on an S-shaped vine with repeated secondary curls,Passed corrected cross-batch audit; six sibling crops were excluded as duplicates,"0,611,700,750",1,fc479a318d0c0e47c6421f2c7ea8abe6ca32c2ad7f552e95c3b80deeec66e6c2
W021,01_CORE_021__CN_WEB_2__R205.png,core,CN_WEB_2,R205,Sina,sina_20230514_04,https://cj.sina.com.cn/articles/view/3925604985/pe9fbfa79027021c0b,https://k.sinaimg.cn/n/sinakd20122/365/w1645h1920/20230514/f74e-a84b6995a64c6eb0f8900cea0f764aaf.jpg/w700d1q75cms.jpg,Sina repost; no open licence found; research screening only,Repeated flower nodes connected by large opposing leaf-scroll branches,Passed corrected cross-batch audit; six sibling crops were excluded as duplicates,"22,414,678,558",1,6a5f4f7bfff30888228eee23ea8212cdf689b97513f6c6db375e7fc94a762285
W022,01_CORE_022__OPEN_COLLECTION__OC04.jpg,core,OPEN_COLLECTION,OC04,Met / Cooper Hewitt / Wikimedia Commons,OC04,https://www.metmuseum.org/art/collection/search/386403,https://images.metmuseum.org/CRDImages/dp/original/DP804853.jpg,CC0,monochrome foliage scroll with traceable central and lateral branches,"No likely duplicate against the prior 67, batch3, or CN_WEB_1","195,156,3710,1637",1,2d65acc4d9c5a46500069fcf405ae58741f5ad99917582f4c469350450a926f6
W023,01_CORE_023__OPEN_COLLECTION__OC05.jpg,core,OPEN_COLLECTION,OC05,Met / Cooper Hewitt / Wikimedia Commons,OC05,https://www.metmuseum.org/art/collection/search/340739,https://images.metmuseum.org/CRDImages/dp/original/DP810375.jpg,CC0,monochrome continuous vine; outer presentation frames removed,"No likely duplicate against the prior 67, batch3, or CN_WEB_1","431,393,3562,1034",1,41aa4c23775da88c2b84dae0687230415176b6f3c09472134a2c2686f88275f1
W024,01_CORE_024__OPEN_COLLECTION__OC06.jpg,core,OPEN_COLLECTION,OC06,Met / Cooper Hewitt / Wikimedia Commons,OC06,https://www.metmuseum.org/art/collection/search/385102,https://images.metmuseum.org/CRDImages/dp/original/DP811459.jpg,CC0,left vertical plant-scroll study rotated into a horizontal strip,"No likely duplicate against the prior 67, batch3, or CN_WEB_1","493,524,1350,3257",1,e97884ba4e772d71bd9888ef01fb62859dcbd6a17a7b52efd8bd32af7086ab13
W025,01_CORE_025__OPEN_COLLECTION__OC08.jpg,core,OPEN_COLLECTION,OC08,Met / Cooper Hewitt / Wikimedia Commons,OC08,"https://commons.wikimedia.org/wiki/File:Floral_ornament_border_from_S%C3%A6mmtliche_Gedichte_Michelangelo%E2%80%99s,_Leipzig_1875,_p._11.png",https://upload.wikimedia.org/wikipedia/commons/3/3a/Floral_ornament_border_from_S%C3%A6mmtliche_Gedichte_Michelangelo%E2%80%99s%2C_Leipzig_1875%2C_p._11.png,Public Domain,"high-contrast black linework with interlaced stems, flowers, and secondary curls","No likely duplicate against the prior 67, batch3, or CN_WEB_1","71,20,7037,978",1,a882d74e1d98963af8dd93d0d10b2355b30e2fda4199dcaa351507ff363dccf1
W026,02_AUX_001__CN_WEB_1__CNU006.png,auxiliary,CN_WEB_1,CNU006,Baidu,baidu_tashuo_scroll_studies.jpg,https://wapbaike.baidu.com/tashuo/browse/content?id=0973544b7b269d26d67cdc38,,No open licence found; research screening only,花叶密集但循环父干成立,同源图不同设计行；未按独立来源新增,,1,2aca2fa0241acf6fbba950089ca404b1125bf06bd0b59eecd6717cd46b338b4d
W027,02_AUX_002__CN_WEB_1__CNU012.png,auxiliary,CN_WEB_1,CNU012,Sina,sina_01.jpg,https://cj.sina.com.cn/articles/view/1872762823/p6fa017c702702b0dg,,No open licence found; research screening only,抽象叶瓣闭环重复，父干较简化,与同源其他行结构不同,,0,6e8245506fba872251355d8107b712b2b0182ed96857dce7e0434d4ef1d08364
W028,02_AUX_003__CN_WEB_1__CNU022.png,auxiliary,CN_WEB_1,CNU022,Jicai,jicai_03.jpg,https://www.jicaizhipin.com/a/news/printingdesign/235.html,,No open licence found; research screening only,交替叶片沿单一波形干线重复,新增设计；对CN01-03无同图匹配,,1,faf81a7d433eab909b049c39dd09041e96e2472b399a58293ab48ac4151ea451
W029,02_AUX_004__CN_WEB_1__CNU023.png,auxiliary,CN_WEB_1,CNU023,Jicai,jicai_17.jpg,https://www.jicaizhipin.com/a/news/printingdesign/235.html,,No open licence found; research screening only,叶片扇形单元沿连续底藤重复,新增设计；对CN01-03无同图匹配,,1,7299f1b27811e59bea89b6b86fb4239a5e4c537873c1871360f12fb1f0b19267
W030,02_AUX_005__CN_WEB_1__CNU024.png,auxiliary,CN_WEB_1,CNU024,Sohu,sohu_02.jpeg,https://www.sohu.com/a/206052358_780733,,No open licence found; research screening only,上排花叶循环边饰，局部父干较密,同一源图上排独立设计；不增加独立来源数,"0,0,535,80",1,8b549587599f625ccc4827749dd6fe9daedfac62a19b36079e8a7e982f887410
W031,02_AUX_006__NGA__NGA02.jpg,auxiliary,NGA,NGA02,National Gallery of Art,NGA artwork 28168 / accession 1943.8.16077,https://www.nga.gov/artworks/28168-wall-paper-border,https://api.nga.gov/iiif/dc3c3d12-1545-46fb-9b69-9b48fb4a46a4/full/full/0/default.jpg,Public domain; NGA Open Access,"Flat painted repeat with a visible winding stem, attached leaves, and repeated flower nodes; color reference only.",Visually screened; source-independent from the Chinese and Cooper Hewitt groups.,"35,580,2965,1300",1,a1d356eaf6e249c2812ad7c4b5f3a70862fef806fb721510385a23253a6c74d5
W032,02_AUX_007__OPEN_COLLECTION__OC01.jpg,auxiliary,OPEN_COLLECTION,OC01,Met / Cooper Hewitt / Wikimedia Commons,OC01,"https://commons.wikimedia.org/wiki/File:Drawing,_Design_for_Woven_Horizontal_Border,_1800%E2%80%931830_(CH_18163091).jpg",https://upload.wikimedia.org/wikipedia/commons/a/a3/Drawing%2C_Design_for_Woven_Horizontal_Border%2C_1800%E2%80%931830_%28CH_18163091%29.jpg,Public Domain,"flat colour drawing; clear repeated floral scroll, reconstruction reference only","No likely duplicate against the prior 67, batch3, or CN_WEB_1","61,64,4035,1507",1,1d42cbb42e0717c8deefadc7adcdc6b98641bf9e2583327a3a399644b5771220
W033,02_AUX_008__OPEN_COLLECTION__OC02.jpg,auxiliary,OPEN_COLLECTION,OC02,Met / Cooper Hewitt / Wikimedia Commons,OC02,https://www.metmuseum.org/art/collection/search/362199,https://images.metmuseum.org/CRDImages/dp/original/DP809214.jpg,CC0,"monochrome line drawing, but palmettes dominate and the parent-child vine hierarchy is weak","No likely duplicate against the prior 67, batch3, or CN_WEB_1","116,129,3757,1449",1,6b9a870242f3bfa3438a92160dbaeb9ae7c7f69bd2fb8259d369b04d6cf3804f
W034,02_AUX_009__OPEN_COLLECTION__OC06.jpg,auxiliary,OPEN_COLLECTION,OC06,Met / Cooper Hewitt / Wikimedia Commons,OC06,https://www.metmuseum.org/art/collection/search/385102,https://images.metmuseum.org/CRDImages/dp/original/DP811459.jpg,CC0,right vertical plant-scroll study rotated into a horizontal strip; architectural framework weakens the plant hierarchy; same source as OC06 left,"No likely duplicate against the prior 67, batch3, or CN_WEB_1","1506,562,2181,3220",0,3d755b0455454f1657fceabb15c4bfb8bb05a02a91b43a57f9889f31fde7207f
W035,02_AUX_010__OPEN_COLLECTION__OC07.jpg,auxiliary,OPEN_COLLECTION,OC07,Met / Cooper Hewitt / Wikimedia Commons,OC07,"https://commons.wikimedia.org/wiki/File:Border_Design_from_a_Classical_Frieze,_Decorated_with_Vines_and_Leaves_MET_DP804426.jpg",https://images.metmuseum.org/CRDImages/dp/original/DP804426.jpg,CC0,"monochrome continuous acanthus band, but dense leaf masses obscure the main stem","No likely duplicate against the prior 67, batch3, or CN_WEB_1","39,329,3842,1212",1,65988c43e9bbcc74500aca44be03cc9e0d3a6ca69e9c3d4657b1b09b06285fb6
W036,02_AUX_011__OPEN_COLLECTION__OC09.jpg,auxiliary,OPEN_COLLECTION,OC09,Met / Cooper Hewitt / Wikimedia Commons,OC09,https://collection.cooperhewitt.org/view/objects/asitem/id/18526,https://images.collection.cooperhewitt.org/192206_72b1da0ebd77aa75_x.jpg,CC0,"monochrome acanthus rinceau, but architectural, vessel, and fruit details weaken direct structural use","No likely duplicate against the prior 67, batch3, or CN_WEB_1","123,216,3973,1510",1,65b8932c09a37bbdfac69b927c53a4a9976e09924eaf425ee9993744903dfc27
W037,02_AUX_012__OPEN_COLLECTION__OC10.jpg,auxiliary,OPEN_COLLECTION,OC10,Met / Cooper Hewitt / Wikimedia Commons,OC10,https://collection.cooperhewitt.org/view/objects/asitem/id/25008,https://images.collection.cooperhewitt.org/127237_e16b132c44f24fbb_x.jpg,CC0,flat two-colour foliage border; useful only after line-art reconstruction,"No likely duplicate against the prior 67, batch3, or CN_WEB_1","82,90,4014,2158",1,2b6eb19a2bc3b4ba1707f8a3c8bface13e03264d52f1dc0496139d4138f03bc6
W038,02_AUX_013__OPEN_COLLECTION__OC11.jpg,auxiliary,OPEN_COLLECTION,OC11,Met / Cooper Hewitt / Wikimedia Commons,OC11,https://collection.cooperhewitt.org/view/objects/asitem/id/160894,https://images.collection.cooperhewitt.org/96005_a2c645a4e23628f7_x.jpg,CC0,top copy of a duplicated colour repeat; bottom duplicate removed,"No likely duplicate against the prior 67, batch3, or CN_WEB_1","0,82,4096,1393",1,772cde59bd0fdf1a77935ec26b490f65d537d2a57711a175689b4ccac8d74270
W039,02_AUX_014__OPEN_COLLECTION__OC12.jpg,auxiliary,OPEN_COLLECTION,OC12,Met / Cooper Hewitt / Wikimedia Commons,OC12,https://collection.cooperhewitt.org/view/objects/asitem/id/160590,https://images.collection.cooperhewitt.org/136611_708c474c0fd1bdf5_x.jpg,CC0,low-contrast colour floral scroll; reconstruction reference only,"No likely duplicate against the prior 67, batch3, or CN_WEB_1","0,83,4096,1962",1,fbdf00cf371de2cb9a97a3c045aee052daa0568db767eabcdb354d5fde9891ef
