index,filename,decision,copied_to,priority,main_issue
01,Snipaste_2026-04-13_15-34-57.png,B,B_auxiliary,normal,no clear flower or horizontal repeat
02,Snipaste_2026-04-13_15-35-02.png,C,not_copied,reject,isolated clusters and ambiguous parent-child structure
03,Snipaste_2026-04-13_15-35-36.png,A,A_core,normal,crossing vines require ambiguity labels
04,Snipaste_2026-04-13_15-46-41.png,A,A_core,high,filled regions cause local merging
05,Snipaste_2026-04-13_15-46-48.png,A,A_core,high,edge truncation and filled details
06,Snipaste_2026-04-13_15-52-22.png,A,A_core,highest,minor free curls need branch discrimination
07,Snipaste_2026-04-13_15-52-38.png,A,A_core,highest,edge flowers are truncated
08,Snipaste_2026-04-13_15-54-15.png,A,A_core,high,black background should be inverted
09,Snipaste_2026-04-13_15-54-46.png,A,A_core,high,main and secondary arcs need manual routing
10,Snipaste_2026-04-18_15-50-53.png,B,B_auxiliary,normal,watermark and floating cloud motifs
11,Snipaste_2026-04-18_15-51-12.png,B,B_auxiliary,normal,very shallow branching and watermark
12,Snipaste_2026-04-18_15-52-40.png,A,A_core,normal,low image height and some unclear junctions
13,Snipaste_2026-04-18_15-52-49.png,B,B_auxiliary,normal,double-vine crossings make parent labels ambiguous
14,Snipaste_2026-04-18_15-52-54.png,A,A_core,normal,watermark and filled occlusion
15,Snipaste_2026-04-18_15-53-00.png,A,A_core,normal,shallow hierarchy
16,Snipaste_2026-04-18_15-54-45.png,C,not_copied,reject,low resolution incomplete cluster no clear flower
17,Snipaste_2026-04-18_15-54-50.png,B,B_auxiliary,normal,low resolution and merged foliage
18,Snipaste_2026-04-18_15-55-07.png,A,A_core,normal,silhouette loses internal detail
19,Snipaste_2026-04-18_15-55-38.png,A,A_core,normal,dense overlap needs consistent parent assignment
20,Snipaste_2026-04-18_15-55-54.png,B,B_auxiliary,normal,incomplete repeat at both ends
21,Snipaste_2026-04-18_15-56-05.png,B,B_auxiliary,normal,incomplete repeat shallow branching and watermark
22,Snipaste_2026-04-18_15-57-30.png,B,B_auxiliary,normal,central watermark crosses multiple repeats
23,Snipaste_2026-04-18_15-57-40.png,B,B_auxiliary,normal,multiple vines and strong watermark
24,Snipaste_2026-04-18_15-57-54.png,A,A_core,normal,remove frame lines and gradient fill
